Team,P,F,A,Attack,Defence,Attack_Str,Defence_Str,Attack_Str_Adj,Defence_Str_Adj
Arsenal,8,15,3,1.875,0.375,1.4354066985645935,0.28708133971291866,1.5900790938384928,0.43332528176216345
Aston Villa,8,8,8,1.0,1.0,0.7655502392344498,0.7655502392344498,1.1711438541672021,0.8426397504355558
Bournemouth,8,14,11,1.75,1.375,1.3397129186602872,1.0526315789473686,1.2581419372080236,1.2857913752254873
Brentford,8,11,12,1.375,1.5,1.0526315789473686,1.1483253588516746,1.065253701581363,1.2719152632092878
Brighton,8,12,11,1.5,1.375,1.1483253588516746,1.0526315789473686,1.0118666454242236,1.032156604772355
Burnley,8,9,15,1.125,1.875,0.861244019138756,1.4354066985645935,0.7281155725951928,1.6532308214144384
Chelsea,8,16,9,2.0,1.125,1.5311004784688995,0.861244019138756,1.8830397936056822,1.272429193283962
Crystal Palace,8,12,8,1.5,1.0,1.1483253588516746,0.7655502392344498,1.1563837824225636,1.0482940091171198
Everton,8,9,9,1.125,1.125,0.861244019138756,0.861244019138756,1.0854819893205332,0.9262870093895026
Fulham,8,8,12,1.0,1.5,0.7655502392344498,1.1483253588516746,0.68402037218816,1.2899233730258661
Leeds,8,7,13,0.875,1.625,0.6698564593301436,1.244019138755981,1.027305104867432,1.2315614737458822
Liverpool,8,14,11,1.75,1.375,1.3397129186602872,1.0526315789473686,1.5039238561201365,0.7619527287117316
Man City,8,17,6,2.125,0.75,1.6267942583732058,0.5741626794258373,2.1568000657830497,0.999902353285812
Man United,8,11,12,1.375,1.5,1.0526315789473686,1.1483253588516746,0.9259580941417112,0.8821506945764959
Newcastle,8,7,7,0.875,0.875,0.6698564593301436,0.6698564593301436,0.7358039665123164,0.7846889952153111
Nott'm Forest,8,5,15,0.625,1.875,0.47846889952153115,1.4354066985645935,0.7637206481686103,1.4509479440227366
Sunderland,8,9,6,1.125,0.75,0.861244019138756,0.5741626794258373,0.7743692793158563,0.7030563421540865
Tottenham,8,14,7,1.75,0.875,1.3397129186602872,0.6698564593301436,1.1940445782946774,1.0234814651118571
West Ham,8,6,18,0.75,2.25,0.5741626794258373,1.722488038277512,0.9651606802378472,1.7122916655959792
Wolves,8,5,16,0.625,2.0,0.47846889952153115,1.5311004784688995,0.8057806854799339,1.3482236006968893
